"","Source","Target","Type","Weight"
"1",1,2,"Undirected",0.840306370520145
"3",1,4,"Undirected",0.685019664901255
"6",1,7,"Undirected",0.624691737423914
"9",1,10,"Undirected",0.671403807237417
"16",2,4,"Undirected",0.785259269077986
"19",2,7,"Undirected",0.717299478809746
"22",2,10,"Undirected",0.766404718021619
"28",3,4,"Undirected",0.925914717633176
"31",3,7,"Undirected",0.907117587366863
"34",3,10,"Undirected",0.928217143208765
"42",4,7,"Undirected",0.863319854612202
"45",4,10,"Undirected",0.904952239466019
"72",7,10,"Undirected",0.91065062401305
