"","Live","PTT","蘋果","中時","中央社","東森","自由","新頭殼","NowNews","聯合","TVBS","中廣","台視","華視","民視"
"同學",831,323,90,33,0,28,37,16,10,23,37,0,0,12,15
"服貿",820,3602,722,484,287,348,663,78,143,628,191,86,41,116,173
"警察",712,3902,368,89,46,103,253,31,32,132,70,11,6,16,30
"學生",600,4128,1177,696,337,399,1256,215,274,864,291,94,69,113,230
"行政院",559,2046,382,285,106,255,318,95,137,250,104,23,24,43,91
"政府",529,2073,247,142,85,115,205,50,56,154,30,24,7,18,39
"老師",348,347,70,34,5,17,37,11,3,46,13,4,0,7,5
"律師",332,138,29,11,5,24,26,6,13,9,7,0,3,0,4
"立法院",328,1552,224,167,158,110,159,49,103,209,75,30,14,30,42
"國家",328,1172,165,79,55,61,117,21,25,99,13,4,0,8,14
"人民",311,1108,105,28,12,47,84,25,22,37,18,6,0,7,12
"公民",280,264,54,30,14,19,47,11,14,31,9,3,0,0,11
"總統",267,928,138,106,114,81,99,31,75,101,69,32,13,12,43
"民眾",248,1002,270,136,52,99,181,40,46,142,89,23,15,29,66
"協議",234,671,266,138,210,92,140,51,61,209,43,31,7,26,33
"大學",184,272,169,58,17,29,99,48,9,77,17,5,0,14,7
"人員",168,274,32,29,0,17,31,7,9,19,14,0,0,3,14
"暴力",154,674,127,45,8,29,158,18,22,46,11,0,0,7,26
"國會",150,219,57,47,53,23,395,11,23,67,6,8,5,4,8
"法律",140,497,42,21,7,31,25,13,18,22,0,0,0,5,5
"院長",134,317,71,54,22,32,46,15,16,60,14,5,4,5,16
"兩岸",132,427,149,91,130,62,76,26,45,109,13,23,5,18,11
"記者",121,456,81,36,120,120,266,20,108,327,27,0,0,13,4
"教授",120,273,42,28,7,22,69,0,15,41,15,0,0,6,20
"東西",119,363,11,4,0,5,7,0,0,5,9,3,0,0,0
"先生",118,151,21,10,0,18,19,8,0,12,6,0,0,7,3
"經濟",112,603,90,83,38,48,30,15,23,66,8,11,0,18,4
"辦法",112,366,30,11,3,6,6,0,0,11,6,0,0,3,12
"條例",110,233,39,17,22,22,41,19,13,24,6,3,4,5,0
"程序",107,231,41,23,13,14,25,15,4,34,0,3,0,0,5
"醫療",107,81,19,4,3,10,21,7,0,6,0,0,0,0,0
"國民黨",106,766,86,69,23,49,111,22,17,90,17,3,3,7,32
"警方",103,371,234,146,69,110,173,22,42,129,79,28,33,27,41
"記者會",96,179,46,26,17,18,45,13,14,28,14,3,0,4,8
"責任",95,207,60,22,10,26,37,20,14,19,9,4,0,4,5
"大陸",90,916,97,103,56,50,10,0,43,73,61,12,0,15,0
"和平",90,367,42,28,12,24,40,7,0,27,14,3,0,0,5
"指揮官",90,50,5,6,0,3,3,0,0,3,6,0,0,0,0
"消息",90,164,19,16,3,9,31,3,0,11,16,0,0,9,4
"網路",90,288,52,52,8,57,65,16,21,54,28,6,0,7,12
"權力",87,194,38,16,3,10,26,5,0,14,3,0,0,0,5
"團體",86,176,70,50,83,17,57,16,28,73,20,6,4,13,8
"會議",85,133,44,52,33,16,35,15,8,35,5,6,0,0,4
"青年",84,128,44,27,0,20,42,8,18,10,4,3,0,0,11
"關係",81,295,33,14,19,10,7,0,9,19,6,3,0,6,0
"行政",79,398,41,36,5,12,42,7,15,28,10,0,0,3,0
"憲政",79,100,25,39,4,9,31,9,12,11,0,0,0,0,4
"力量",78,181,12,5,0,12,16,3,5,9,0,4,0,0,5
"歷史",75,264,32,15,0,8,16,5,4,9,9,0,0,0,0
"理性",74,339,43,34,20,20,20,5,9,40,8,7,0,7,4
"報告",68,88,26,19,23,4,26,5,3,26,5,13,0,4,3
"過程",68,158,46,15,22,21,33,5,16,19,6,4,7,7,7
"想法",65,222,11,3,6,12,3,0,0,5,5,0,0,0,0
"利益",62,182,8,3,4,4,9,3,0,8,0,0,0,0,0
"群眾",62,339,110,79,39,51,110,37,44,73,50,14,5,8,18
"糾察",61,30,8,5,0,0,3,7,0,0,0,0,0,0,0
"議題",59,242,63,46,43,27,42,8,7,76,22,7,0,4,13
"協定",57,194,21,10,12,16,6,7,11,18,0,3,0,7,0
"正義",56,183,11,12,5,16,10,8,0,13,0,0,0,0,0
"發言人",56,76,19,24,24,20,20,9,14,19,9,8,0,3,3
"年輕人",55,184,34,22,12,17,37,0,0,19,0,0,0,0,6
"人數",53,160,16,10,9,10,13,0,6,15,11,0,0,4,0
"立場",52,297,51,29,30,36,38,0,9,56,14,11,0,3,7
"個人",52,181,33,12,7,10,20,5,5,17,9,5,0,0,7
"資訊",50,161,29,9,8,6,13,0,0,8,0,0,0,0,0
"動作",49,80,18,0,4,7,10,0,3,6,8,0,0,4,6
"制度",48,66,11,0,3,0,5,0,3,8,0,0,0,0,0
"非暴力",48,42,6,7,0,3,14,0,0,4,4,0,0,0,0
"國際",48,322,38,47,25,37,36,3,13,45,6,7,0,18,6
"水車",47,84,27,4,5,7,7,0,0,0,3,0,0,0,0
"朝野",46,92,66,63,49,32,51,24,27,109,12,11,9,13,18
"電話",44,76,13,8,0,17,10,0,0,5,11,0,0,0,0
"學校",44,185,19,31,11,0,15,4,7,36,3,5,0,6,0
"機制",44,108,37,20,19,11,12,7,8,26,6,0,5,6,3
"機會",44,299,35,33,9,23,7,9,0,32,5,0,0,6,0
"環境",44,72,11,15,8,4,8,0,0,16,0,0,0,6,4
"聲明",44,101,41,35,12,22,48,19,15,34,7,6,0,10,0
"外場",43,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"實質",43,97,20,9,11,13,20,9,7,14,3,0,0,4,0
"醫師",43,45,24,7,3,3,6,0,0,27,6,0,0,0,8
"導演",42,9,7,0,0,9,24,0,0,5,24,0,0,0,10
"文化",41,89,15,9,8,5,5,3,5,17,6,0,0,7,0
"正門",41,20,6,0,0,0,0,0,0,0,0,0,0,0,0
