新聞來源,網址,第一次抓到時間,資料更新時間,標題,內容
4,http://www.ettoday.net/news/20140325/338632.htm,1395677131,1395677181,響應罷課？　政大教授劉宏恩請假：電視看到某人就嘔吐,"http://static.ettoday.net/images/559/d559650.jpg\n
\n▲學生肉身撞盾牌，不肯驅離鎮暴警察直接逮捕。\n
\n生活中心／綜合報導\n
\n反服貿抗議進入第7天，多數大學連署罷課。政大法律系「機車教授」劉宏恩24日晚間在<a href=""https://www.facebook.com/notes/%E5%8A%89%E5%AE%8F%E6%81%A9/%E6%94%BF%E5%A4%A7%E6%B3%95%E5%BE%8B%E7%B3%BB%E5%8A%89%E5%AE%8F%E6%81%A9%E8%80%81%E5%B8%AB%E8%AB%8B%E5%81%87%E5%85%AC%E5%91%8A/10152307446959429"">臉書表示</a>，教育部長公開威嚇支持罷課的校長和公務員要負行政責任，各校長關心學生讀書程度竟遠超過受傷情況，無法相信政府保障台灣的能力，因為「看到某些人出現在電視上就嘔吐、莫名憤怒」，因此「告假一周」。\n
\n針對大學生發起各校串聯罷課，教育部長蔣偉寧24日發表聲明，認為罷課是影響校園秩序及其他學生的學習權，也並非在校就學的本意，教育應該要秉持中立原則，任何大學的系所不可因為部分學生參與校外活動就片面宣布停課，應嚴守行政中立，如果校長帶頭罷課，那就必須依法負起行政責任，希望學校可以盡快引導學生回到校園，停止罷課行為。\n
\n對於警方鎮壓驅離佔領行政院的學生，政大法律系副教授劉宏恩24日晚間7點多在臉書發表「無法理解倘若我們政府連一個學生運動和行政院的安全管理都可以處理成這樣，那我應該如何相信他們談判貿易和保障台灣的能力。」\n
\n劉宏恩在臉書請假，「類似最底下的影片和新聞的閱讀，已經使本人身心明顯感到不適，出現失眠、焦慮、沮喪、恐慌、看到某些人出現在電視上就嘔吐、莫名憤怒等諸多症狀。基於上述原因，我不得不請假休養，本週我於政大法律系的身分法、基礎法學導論兩門課程，暫停上課一次，但是日後一定補課。」\n
\n▼政大教授劉宏恩臉書請假一周。（圖／翻拍自<a href=""https://www.facebook.com/notes/%E5%8A%89%E5%AE%8F%E6%81%A9/%E6%94%BF%E5%A4%A7%E6%B3%95%E5%BE%8B%E7%B3%BB%E5%8A%89%E5%AE%8F%E6%81%A9%E8%80%81%E5%B8%AB%E8%AB%8B%E5%81%87%E5%85%AC%E5%91%8A/10152307446959429"">劉宏恩臉書</a>）\n
\nhttp://static.ettoday.net/images/560/560192.jpg\n"
1,http://www.appledaily.com.tw/realtimenews/article/forum/20140325/366327/%E5%B9%B8%E5%A5%BD%E6%88%91%E5%80%91%E9%82%84%E6%9C%89%E8%AA%B2%E5%8F%AF%E7%BD%B7,1395678877,1395678918,幸好    我們還有課可罷,"作者：林鈺雄（台灣大學法律學院教授）\n\n武警一夜強勢驅離，街頭回到解嚴前和陳雲林來台時的攻防戰場景。面對執政者用武力來解決自己製造出來的「零和僵局」，數高校學生會串聯發起全台大罷課。學生的球發出去了，我和全國教師一樣，心急如焚，要怎麼接球？\n\n首先，我不能苟同教育部千篇一律的說詞：「學生最重要的還是學習，罷課會傷害學生受教權」。先說官員自己才更該要「學習」（不然怎麼闖出服貿這種反民主的大禍），而學生從「實踐中」往往獲得更好的學習，不然我們法律系老師把學生帶到法庭實習，所為何來？至於「受教權」說法，則是令人大開眼界。試問：全國中學有多少體育課是被剝奪挪去學科考，怎麼教育部從來都沒有拿出什麼對策來維護他們的「受教權」呢？更遑論和服貿協議一樣是黑箱作業的竄改歷史課綱，教育部還強迫全國師生去接受特定統治者的觀點。到底是誰在踐踏受教權？\n\n但是，罷課是否影響（想要上課的）個別學生的受教權，的確要認真思辨。官方回應講得白話些，就是修課有一百名學生的話，就算只有一個反對，也不准罷課來影響一人的受教權。這是不假思索，而教育最忌諱的就是不假思索。對照看看，罷工有完全相同的問題，假使這種說法成立，幾萬名員工的大企業（例如先前才大罷工的德航）只要有一個員工反對，就不可能發動罷工，那麼，全世界都不會有合法的罷工，工人也不可能有「罷工權」。本來，罷工就是個別弱勢勞工為了對抗優勢雇主，所以才聯合起來增加談判籌碼，以期爭取更好的勞動條件。換言之，罷工正是為了落實而非剝奪工作權，儘管某些人因此一時不能上工，但他們終究也會受惠於罷工者所爭取到的較佳勞動條件。\n\n由此可知，不能僅以個別工作權的說詞，來概括否定其他人聯合起來的罷工權（以及經由罷工而維護的工作權）。重點在於，罷工經過什麼樣的「民主程序」？這正是整個工會制度的運作核心。\n\n回到學校。高校學生已經是法律上的「大人」了，刑法上也有完全的責任能力。學生是課堂的主體，教師也是為學生而授課。高校學生若要響應學生會聯合的自主罷課，認為這才是面對憲政危機最好的教育方式，教師沒有阻止甚或制裁（例如記曠課）的正當理由。但在學生對罷課意見紛歧時，教師負有協助其透過實質民主程序（不是只有表決，更包含意見討論）的積極義務，對於決定結果則有尊重義務。當然，這裡還牽涉到高校教師對課程方式的教學與學術自由問題，重要的是，師生若有共同決定，校方就無干涉立場。大學校長應該堅定聲明對學術自由的尊重立場，而非越俎代庖去評價學生佔領是否構成刑法犯罪；連總統記者會都避談的違法問題，校長有比較專業嗎？\n\n簡言之，罷課不等於剝奪受教權。教師面對學生罷課決定，可善用學術自由來形成另一種教學平台，例如講堂課可事先錄影或事後補課、討論課可走出教室或探討學生迫切關心的議題。\n最後我不得不說，罷課不是災難，畢竟還「有課可罷」。透露兩岸未來走向的服貿，為何讓青年人焦慮至此？看看法國作家都德的《最後一課》吧！因為青年學生不希望有一天，老師絕望地走到黑板上寫幾個大字：「台灣萬歲！」，然後，哽咽地說：「課…完了，你們走吧！」\n
\n                http://twimg.edgesuite.net/images/ReNews/20140325/420_789b9d3590b7cc6b2bfdb9628f7d2889.jpg\n\n
\n                \n
\n                <a href=""http://www.appledaily.com.tw/realtimenews/forum"">【蘋論陣線】：最新評論及獨立媒體每日總覽</a>\n\n<a href=""mailto:onlineopinions@appledaily.com.tw?subject=%A6%B3%B8%DC%ADn%BB%A1%A7%EB%BDZ%A1u%A7Y%AE%C9%BD%D7%BE%C2%A1v"">有話要說 投稿「即時論壇」\n\n onlineopinions@appledaily.com.tw</a>"
8,http://udn.com/NEWS/NATIONAL/NATS1/8569626.shtml,1395688527,1395688575,罷課抗爭 近50大學校系學生會響應,"【聯合報╱記者鄭語謙、周美惠、董俞佳／台北報導】\n2014.03.25 03:05 am\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569626-3378606.jpg?sn=13956802967102\n受停課聲援學運效應影響，台北大學社會學系昨天上午的「同性戀研究」課堂等嘸人，只有三名非社會系學生如常到課，授課教授王雅各來到教室也傻眼，與三名學生討論如何補課後離去。只剩一名旁聽的鄭姓學生獨坐空教室自習。\n記者邱榆蕙／攝影\n占領國會的學運團體呼籲全台全面停課、罷課，支持抗爭，至昨晚已有近五十個大學校系學生會、系學會響應罷課，包括台大多個系所、清大、政大學生會；台大學生選在傅鐘前號召全校學生罷課。台大校長楊泮池發表聲明，呼籲學生應循法治精神、政府宜寬容對待。「當年傅斯年校長捍衛學生說『若有學生流血，我要跟你拚命』，但今天學生被政府用水柱攻擊，校長卻只會表達遺憾。」台大法律系學生李翎瑋說，期待校長楊泮池效法當年的傅斯年，硬起肩膀挺學生。社會系學生林靖豪說，昨天各系已有近百名學生自主罷課，「政府用暴力鎮壓學生，學生只能用罷課來抗爭。」\n政大表示，地政學系教授徐世榮日前在臉書拜託修他課的學生去立法院，但他昨天照常到校授課。\n各校學生雖串聯罷課，但成大、政大、中山、東吳、北科大校方都強調，尚未出現明顯罷課潮。\n楊泮池發表聲明指出，表示肯定學生關懷社會議題，但應遵循法治精神。\n採「報備就不點名」的台北醫學大學，昨天有八名學生報備參加抗爭；也有四十名學生發起「北醫自覺行動」，在校內靜坐；兩位醫學系同學，在向父母報備過後展開絕食，將持續到政府退回黑箱服貿、制定服貿監督條例才罷休。\n【記者郭政芬、林伯驊、修瑞瑩／連線報導】聲援立院反服貿學生，中南部大學生以靜坐、默哀、開講支持。\n※延伸閱讀》\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8567466.shtml"">‧行政院現場時間軸 警民衝突全紀錄</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8566462.shtml"">‧圖輯／史上首次 行政院遭攻占</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8558144.shtml"">‧圖輯／占領立院 反服貿抗爭百態</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8557380.shtml"">‧服貿「懶人包」網路熱傳 正反方攻防</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8563336.shtml"">‧不依賴懶人包 網友開講服貿議題</a>\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569626-3378606.jpg?sn=13956802967102"
8,http://udn.com/NEWS/NATIONAL/NATS1/8569626.shtml,1395688527,1395699554,罷課抗爭 近50大學校系學生會響應,"【聯合報╱記者鄭語謙、周美惠、董俞佳／台北報導】\n2014.03.25 05:26 am\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569626-3378606.jpg?sn=13956963990901\n受停課聲援學運效應影響，台北大學社會學系昨天上午的「同性戀研究」課堂等嘸人，只有三名非社會系學生如常到課，授課教授王雅各來到教室也傻眼，與三名學生討論如何補課後離去。只剩一名旁聽的鄭姓學生獨坐空教室自習。\n記者邱榆蕙／攝影\n占領國會的學運團體呼籲全台全面停課、罷課，支持抗爭，至昨晚已有近五十個大學校系學生會、系學會響應罷課，包括台大多個系所、清大、政大學生會；台大學生選在傅鐘前號召全校學生罷課。台大校長楊泮池發表聲明，呼籲學生應循法治精神、政府宜寬容對待。「當年傅斯年校長捍衛學生說『若有學生流血，我要跟你拚命』，但今天學生被政府用水柱攻擊，校長卻只會表達遺憾。」台大法律系學生李翎瑋說，期待校長楊泮池效法當年的傅斯年，硬起肩膀挺學生。社會系學生林靖豪說，昨天各系已有近百名學生自主罷課，「政府用暴力鎮壓學生，學生只能用罷課來抗爭。」\n政大表示，地政學系教授徐世榮日前在臉書拜託修他課的學生去立法院，但他昨天照常到校授課。\n各校學生雖串聯罷課，但成大、政大、中山、東吳、北科大校方都強調，尚未出現明顯罷課潮。\n楊泮池發表聲明指出，表示肯定學生關懷社會議題，但應遵循法治精神。\n採「報備就不點名」的台北醫學大學，昨天有八名學生報備參加抗爭；也有四十名學生發起「北醫自覺行動」，在校內靜坐；兩位醫學系同學，在向父母報備過後展開絕食，將持續到政府退回黑箱服貿、制定服貿監督條例才罷休。\n【記者郭政芬、林伯驊、修瑞瑩／連線報導】聲援立院反服貿學生，中南部大學生以靜坐、默哀、開講支持。\n※延伸閱讀》\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8567466.shtml"">‧行政院現場時間軸 警民衝突全紀錄</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8566462.shtml"">‧圖輯／史上首次 行政院遭攻占</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8558144.shtml"">‧圖輯／占領立院 反服貿抗爭百態</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8557380.shtml"">‧服貿「懶人包」網路熱傳 正反方攻防</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8563336.shtml"">‧不依賴懶人包 網友開講服貿議題</a>\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569626-3378606.jpg?sn=13956963990901"
8,http://udn.com/NEWS/NATIONAL/NATS1/8569533.shtml,1395688528,1395688576,新竹／反暴力鎮壓 清大生罷課,【聯合報╱記者郭政芬／新竹報導】\n2014.03.25 03:05 am\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378483.JPG?sn=13956802967102\n清大人文社會學院院長蔡英俊（左）昨天與學生會溝通，鼓勵師生上台發表意見，說出對服貿的疑慮。\n記者郭政芬／攝影\n清華大學學生會昨天發起學生自主罷課，宣布「化解衝突譴責暴力，拒絕鎮壓傾聽民意」，近兩百名學生到場聲援，學生大都戴上口罩、靜坐，也有學生倒拿國旗，表達對政府失望、痛心。學生會長張羿涵說，做出連署罷課的決議，是因警方用盾牌、鎮暴水車等暴力方式驅離學生，讓學生感受到憤怒、悲傷，因而呼籲學生用罷課聲援。她強調，學生會立場是尊重同學選擇抗爭而不上課，但也尊重其他要上課同學的權利及老師授課職責。\n「將靜坐一周抗議！」張羿涵指出，學生會發起靜坐，人數陸續增加中，每天中午到傍晚6點，將有一連串活動，也邀集師生公開討論，若政府仍未回應，將考慮繼續靜坐。\n\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378484.JPG?sn=13956802967102\n清大靜坐學生昨天倒持國旗，表達不滿。\n記者郭政芬／攝影\n清大人文社會學院院長蔡英俊昨天到場關心打氣，認為學生靜坐不只是抗議，也顯示對服貿的疑慮，引導讓更多人看見事件的狀況，鼓勵學生整理問題，做為與政府對話的基礎。蔡英俊說，以行政院的高度應該好好和學生溝通，傾聽社會對此議題的焦慮和不安。\n清大社會所昨天上午教室空蕩蕩，學生說，上午是田野調查課，教授不一定在教室內上課。清大主秘李敏說，校方對停課表示尊重，這是參加社會運動所採取的手段與訴求，校方尊重，但也提醒學生有受教權，教師也有上課義務，必須尊重其他師生的選擇。\n交大學聯會也發出聲明稿，決議參與「全國大專院校響應反黑箱服貿學生自主罷課行動連署」，鼓勵學生透過連署簽名表達公民參與。\n清華大學上午也有兩名材料系所學生站在校門口，怒喊「我是清華大學材料所，我罷課反對服貿黑箱」，並在校門口貼上「罷課反服貿黑箱」，引起許多學生在旁觀看喊讚。\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378483.JPG?sn=13956802967102\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378484.JPG?sn=13956802967102
8,http://udn.com/NEWS/NATIONAL/NATS1/8569533.shtml,1395688528,1395744484,新竹／反暴力鎮壓 清大生罷課,【聯合報╱記者郭政芬／新竹報導】\n2014.03.25 03:05 am\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378483.JPG?sn=13956802967102\n清大人文社會學院院長蔡英俊（左）昨天與學生會溝通，鼓勵師生上台發表意見，說出對服貿的疑慮。\n記者郭政芬／攝影\n清華大學學生會昨天發起學生自主罷課，宣布「化解衝突譴責暴力，拒絕鎮壓傾聽民意」，近兩百名學生到場聲援，學生大都戴上口罩、靜坐，也有學生倒拿國旗，表達對政府失望、痛心。學生會長張羿涵說，做出連署罷課的決議，是因警方用盾牌、鎮暴水車等暴力方式驅離學生，讓學生感受到憤怒、悲傷，因而呼籲學生用罷課聲援。她強調，學生會立場是尊重同學選擇抗爭而不上課，但也尊重其他要上課同學的權利及老師授課職責。\n「將靜坐一周抗議！」張羿涵指出，學生會發起靜坐，人數陸續增加中，每天中午到傍晚6點，將有一連串活動，也邀集師生公開討論，若政府仍未回應，將考慮繼續靜坐。\n\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378484.JPG?sn=13956802967102\n清大靜坐學生昨天倒持國旗，表達不滿。\n記者郭政芬／攝影\n清大人文社會學院院長蔡英俊昨天到場關心打氣，認為學生靜坐不只是抗議，也顯示對服貿的疑慮，引導讓更多人看見事件的狀況，鼓勵學生整理問題，做為與政府對話的基礎。蔡英俊說，以行政院的高度應該好好和學生溝通，傾聽社會對此議題的焦慮和不安。\n清大社會所昨天上午教室空蕩蕩，學生說，上午是田野調查課，教授不一定在教室內上課。清大主秘李敏說，校方對停課表示尊重，這是參加社會運動所採取的手段與訴求，校方尊重，但也提醒學生有受教權，教師也有上課義務，必須尊重其他師生的選擇。\n交大學聯會也發出聲明稿，決議參與「全國大專院校響應反黑箱服貿學生自主罷課行動連署」，鼓勵學生透過連署簽名表達公民參與。\n清華大學上午也有兩名材料系所學生站在校門口，怒喊「我是清華大學材料所，我罷課反對服貿黑箱」，並在校門口貼上「罷課反服貿黑箱」，引起許多學生在旁觀看喊讚。\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378483.JPG?sn=13956802967102\nhttp://uc.udn.co
8,http://udn.com/NEWS/NATIONAL/NATS1/8569533.shtml,1395688528,1395748340,新竹／反暴力鎮壓 清大生罷課,【聯合報╱記者郭政芬／新竹報導】\n2014.03.25 03:05 am\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378483.JPG?sn=13956802967102\n清大人文社會學院院長蔡英俊（左）昨天與學生會溝通，鼓勵師生上台發表意見，說出對服貿的疑慮。\n記者郭政芬／攝影\n清華大學學生會昨天發起學生自主罷課，宣布「化解衝突譴責暴力，拒絕鎮壓傾聽民意」，近兩百名學生到場聲援，學生大都戴上口罩、靜坐，也有學生倒拿國旗，表達對政府失望、痛心。學生會長張羿涵說，做出連署罷課的決議，是因警方用盾牌、鎮暴水車等暴力方式驅離學生，讓學生感受到憤怒、悲傷，因而呼籲學生用罷課聲援。她強調，學生會立場是尊重同學選擇抗爭而不上課，但也尊重其他要上課同學的權利及老師授課職責。\n「將靜坐一周抗議！」張羿涵指出，學生會發起靜坐，人數陸續增加中，每天中午到傍晚6點，將有一連串活動，也邀集師生公開討論，若政府仍未回應，將考慮繼續靜坐。\n\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378484.JPG?sn=13956802967102\n清大靜坐學生昨天倒持國旗，表達不滿。\n記者郭政芬／攝影\n清大人文社會學院院長蔡英俊昨天到場關心打氣，認為學生靜坐不只是抗議，也顯示對服貿的疑慮，引導讓更多人看見事件的狀況，鼓勵學生整理問題，做為與政府對話的基礎。蔡英俊說，以行政院的高度應該好好和學生溝通，傾聽社會對此議題的焦慮和不安。\n清大社會所昨天上午教室空蕩蕩，學生說，上午是田野調查課，教授不一定在教室內上課。清大主秘李敏說，校方對停課表示尊重，這是參加社會運動所採取的手段與訴求，校方尊重，但也提醒學生有受教權，教師也有上課義務，必須尊重其他師生的選擇。\n交大學聯會也發出聲明稿，決議參與「全國大專院校響應反黑箱服貿學生自主罷課行動連署」，鼓勵學生透過連署簽名表達公民參與。\n清華大學上午也有兩名材料系所學生站在校門口，怒喊「我是清華大學材料所，我罷課反對服貿黑箱」，並在校門口貼上「罷課反服貿黑箱」，引起許多學生在旁觀看喊讚。\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378483.JPG?sn=13956802967102\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569533-3378484.JPG?sn=13956802967102
8,http://udn.com/NEWS/NATIONAL/NAT3/8569599.shtml,1395688528,1395688576,經部：罷工1天 產值蒸發1200億,"【聯合報╱記者劉俐珊、董俞佳／台北報導】\n2014.03.25 03:05 am\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569599-3378523.JPG?sn=13956802967102\n反服貿學生團體喊出全國罷工，經濟部表示，罷工一天造成直接產值損失為一千二百億元。勞動部則說，罷工若不符合程序，勞工權益無法獲得保障。\n記者潘俊宏／攝影\n反服貿學生團體喊出全國罷工，經濟部次長杜紫軍昨天表示，根據主計總處評估，罷工一天造成直接產值損失為一千二百億元，還可能衍生轉單、訂單無法出貨的違約賠償、甚至外資投資卻步等的潛在影響。他說，罷工後即使再復工，訂單也可能回不來了，屆時勞工利益也會受到影響。\n杜紫軍說，停工影響不只是產值直接蒸發，更有循環衝擊，勞工本身利益也受衝擊，沒工作怎麼領薪水？\n國發會主委管中閔也指出，罷工是非同小可的事，不僅牽涉到製造業，會衝擊整個社會，包括消費等。他說，台灣幾乎沒有全國罷工的經驗，如果發生，對後續的影響「會非常非常大」。\n勞動部長潘世偉也呼籲，簽服貿協議是為了拚經濟，不適宜在此時採用罷工的激烈手段，對台灣經濟造成更負面的衝擊。\n他強調，勞工與雇主應攜手合作，共創競爭能力，不論服貿協議如何簽訂，有競爭力就不怕，年輕人才有就業機會。\n勞動部還指出，勞工罷工若不符合程序，權益將無法獲得保障。\n勞動部官員表示，勞工只有在勞資爭議協調不成，經工會會員過半同意才能罷工，如果未經合法程序罷工，恐成曠職；曠職三天，雇主可解雇勞工，並可不發給資遣費。\n勞動部表示，服貿協議不論如何簽訂，都是為了經濟發展，此時若罷工，將造成台灣經濟負面影響，對全國國民都不利。\n杜紫軍喊話，經濟是台灣重要命脈，若沒有安定、和諧環境，工商業就無法持續發展，唯有確保經濟穩定發展，民眾生活才能無虞。\n杜紫軍指出，工商業界代表今天將集結，發表支持服貿通過立場。\n※延伸閱讀》\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8567466.shtml"">‧行政院現場時間軸 警民衝突全紀錄</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8566462.shtml"">‧圖輯／史上首次 行政院遭攻占</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8558144.shtml"">‧圖輯／占領立院 反服貿抗爭百態</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8557380.shtml"">‧服貿「懶人包」網路熱傳 正反方攻防</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8563336.shtml"">‧不依賴懶人包 網友開講服貿議題</a>\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569599-3378523.JPG?sn=13956802967102"
8,http://udn.com/NEWS/NATIONAL/NAT3/8569599.shtml,1395688528,1395699555,經部：罷工1天 產值蒸發1200億,"【聯合報╱記者劉俐珊、董俞佳／台北報導】\n2014.03.25 05:17 am\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569599-3378523.JPG?sn=13956958793081\n反服貿學生團體喊出全國罷工，經濟部表示，罷工一天造成直接產值損失為一千二百億元。勞動部則說，罷工若不符合程序，勞工權益無法獲得保障。\n記者潘俊宏／攝影\n反服貿學生團體喊出全國罷工，經濟部次長杜紫軍昨天表示，根據主計總處評估，罷工一天造成直接產值損失為一千二百億元，還可能衍生轉單、訂單無法出貨的違約賠償、甚至外資投資卻步等的潛在影響。他說，罷工後即使再復工，訂單也可能回不來了，屆時勞工利益也會受到影響。\n杜紫軍說，停工影響不只是產值直接蒸發，更有循環衝擊，勞工本身利益也受衝擊，沒工作怎麼領薪水？\n國發會主委管中閔也指出，罷工是非同小可的事，不僅牽涉到製造業，會衝擊整個社會，包括消費等。他說，台灣幾乎沒有全國罷工的經驗，如果發生，對後續的影響「會非常非常大」。\n勞動部長潘世偉也呼籲，簽服貿協議是為了拚經濟，不適宜在此時採用罷工的激烈手段，對台灣經濟造成更負面的衝擊。\n他強調，勞工與雇主應攜手合作，共創競爭能力，不論服貿協議如何簽訂，有競爭力就不怕，年輕人才有就業機會。\n勞動部還指出，勞工罷工若不符合程序，權益將無法獲得保障。\n勞動部官員表示，勞工只有在勞資爭議協調不成，經工會會員過半同意才能罷工，如果未經合法程序罷工，恐成曠職；曠職三天，雇主可解雇勞工，並可不發給資遣費。\n勞動部表示，服貿協議不論如何簽訂，都是為了經濟發展，此時若罷工，將造成台灣經濟負面影響，對全國國民都不利。\n杜紫軍喊話，經濟是台灣重要命脈，若沒有安定、和諧環境，工商業就無法持續發展，唯有確保經濟穩定發展，民眾生活才能無虞。\n杜紫軍指出，工商業界代表今天將集結，發表支持服貿通過立場。\n※延伸閱讀》\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8567466.shtml"">‧行政院現場時間軸 警民衝突全紀錄</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8566462.shtml"">‧圖輯／史上首次 行政院遭攻占</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8558144.shtml"">‧圖輯／占領立院 反服貿抗爭百態</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8557380.shtml"">‧服貿「懶人包」網路熱傳 正反方攻防</a>\n<a href=""http://udn.com/NEWS/NATIONAL/NATS6/8563336.shtml"">‧不依賴懶人包 網友開講服貿議題</a>\nhttp://uc.udn.com.tw/NEWS/MEDIA/8569599-3378523.JPG?sn=13956958793081"
2,http://www.chinatimes.com/newspapers/20140325000403-260102,1395692079,1395692116,成大 中山：你罷課 我尊重,"<a href=""/newspapers/2601""> 中國時報</a> <a href=""/reporter/158"">洪榮志</a>、<a href=""/reporter/185"">曹明正</a>、<a href=""/reporter/177"">李義</a>、<a href=""/reporter/174"">莊哲權</a>、<a href=""/reporter/169"">王瑄琪</a>／綜合報導 2014年03月25日 04:10 \n
\n          
\n            ↑台大多個學生團體24日在校園發起全面罷課、走上街頭活動，表達對政府驅離行政院學生的不滿，和反對服貿的決心。（趙雙傑攝）
\n          
\n            
\n              
\n              
\n              
\n            
\n        \n
\n          
\n            ↑清華大學學生會譴責政府暴力鎮壓民意，24日在校內發起自主罷課行動，約200名學生聚集靜坐，由師生輪流上台演說。（徐養齡攝）
\n          
\n            
\n              
\n              
\n              
\n            
\n        \n反服貿學生呼籲全國罷課，獲得成功大學工程科學系副教授李輝煌等人的響應，在臉書發表「本周不點名、沒有小考、沒有新的進度」等聲明。成大校方表示，尊重老師在合法範圍內的課程規畫，但也要求顧及學生的受教權。\n成大李輝煌老師響應\n李輝煌指出，發表「本周沒有新進度」等聲明的原因是上周上課時，發現課堂上有不少學生都不見了，身為老師一定要做一些處理，如果持續照著進度教，恐將影響這些學生的受教權。\n他說，參加學運的學生都承受很大的壓力，除了有鎮暴部隊的壓力外，也要擔心課業的壓力，因此才決定在臉書發表「本周沒有新進度」等聲明，希望減輕學生的課業壓力，但上課時段他仍會照常到教室，並與出席同學自由討論課業問題。\n還有成大老師宣布，如果學生出示在學運現場拍攝的照片，或在課堂上分享觀察學運的意見，可以用來折抵報告或作業。\n中山學生議決支持\n中山大學反服貿陣線昨天在學校菩提樹下發表罷課聲明，獲得資工系、財管系學生響應，現場陸續聚集上百人。總召楊家華指出，發起罷課是希望延續服貿議題熱度，集結更多聲音、支援立院學生，迫使政府正面回應。\n校方:日後必須補課\n罷課活動提出3點訴求，包括讓中山學生響應台北攻占立院行動、另呼籲校方不得以成績威脅聲援學生，最後是服貿議題與學生切身相關，希望校方支持。中山學生會與學生議會昨早召開臨時會議，議決支持罷課行動。\n對於學生發起罷課，中山大學認為，正確來說應該是系所自主調整「停課」，為維護其他學生受教權，日後必須補課。行政副校長吳濟華表示，學生活動只要不違法，學校都尊重。\n中正大學社團「牧夫們」呂鴻志表示，社團立院靜坐活動人數之多讓他們思考表達意見的另種方式，周六開始廣邀系所教授籌備公民講堂，希望能激勵大學生走出教室，深入了解服貿議題。"
